,Domain,Resolver,Result
0,facebook.com,Cloudflare,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 26297
;; flags: qr rd ra; QUERY: 1, ANSWER: 1, AUTHORITY: 0, ADDITIONAL: 0
;; QUESTION SECTION:
;facebook.com.                  IN      A
;; ANSWER SECTION:
facebook.com.           38      IN      A       31.13.77.35"
1,facebook.com,Google,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 26297
;; flags: qr rd ra; QUERY: 1, ANSWER: 1, AUTHORITY: 0, ADDITIONAL: 0
;; QUESTION SECTION:
;facebook.com.                  IN      A
;; ANSWER SECTION:
facebook.com.           299     IN      A       31.13.77.35"
2,facebook.com,Shanghai,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 26297
;; flags: qr rd ra; QUERY: 1, ANSWER: 1, AUTHORITY: 13, ADDITIONAL: 11
;; QUESTION SECTION:
;facebook.com.                  IN      A
;; ANSWER SECTION:
facebook.com.           299     IN      A       31.13.77.35
;; AUTHORITY SECTION:
com.                    42512   IN      NS      i.gtld-servers.net.
com.                    42512   IN      NS      k.gtld-servers.net.
com.                    42512   IN      NS      c.gtld-servers.net.
com.                    42512   IN      NS      h.gtld-servers.net.
com.                    42512   IN      NS      a.gtld-servers.net.
com.                    42512   IN      NS      g.gtld-servers.net.
com.                    42512   IN      NS      d.gtld-servers.net.
com.                    42512   IN      NS      m.gtld-servers.net.
com.                    42512   IN      NS      b.gtld-servers.net.
com.                    42512   IN      NS      e.gtld-servers.net.
com.                    42512   IN      NS      l.gtld-servers.net.
com.                    42512   IN      NS      j.gtld-servers.net.
com.                    42512   IN      NS      f.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41159   IN      A       192.5.6.30
a.gtld-servers.net.     41159   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41159   IN      A       192.33.14.30
b.gtld-servers.net.     41159   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41159   IN      A       192.26.92.30
c.gtld-servers.net.     41159   IN      AAAA    2001:503:83eb::30
d.gtld-servers.net.     41159   IN      A       192.31.80.30
d.gtld-servers.net.     41159   IN      AAAA    2001:500:856e::30
e.gtld-servers.net.     41159   IN      A       192.12.94.30
e.gtld-servers.net.     41159   IN      AAAA    2001:502:1ca1::30
f.gtld-servers.net.     41159   IN      A       192.35.51.30"
3,facebook.com,Shenzen,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 26297
;; flags: qr rd ra; QUERY: 1, ANSWER: 1, AUTHORITY: 13, ADDITIONAL: 11
;; QUESTION SECTION:
;facebook.com.                  IN      A
;; ANSWER SECTION:
facebook.com.           298     IN      A       31.13.77.35
;; AUTHORITY SECTION:
com.                    42511   IN      NS      e.gtld-servers.net.
com.                    42511   IN      NS      j.gtld-servers.net.
com.                    42511   IN      NS      h.gtld-servers.net.
com.                    42511   IN      NS      a.gtld-servers.net.
com.                    42511   IN      NS      k.gtld-servers.net.
com.                    42511   IN      NS      c.gtld-servers.net.
com.                    42511   IN      NS      d.gtld-servers.net.
com.                    42511   IN      NS      f.gtld-servers.net.
com.                    42511   IN      NS      i.gtld-servers.net.
com.                    42511   IN      NS      b.gtld-servers.net.
com.                    42511   IN      NS      m.gtld-servers.net.
com.                    42511   IN      NS      g.gtld-servers.net.
com.                    42511   IN      NS      l.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41158   IN      A       192.5.6.30
a.gtld-servers.net.     41158   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41158   IN      A       192.33.14.30
b.gtld-servers.net.     41158   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41158   IN      A       192.26.92.30
c.gtld-servers.net.     41158   IN      AAAA    2001:503:83eb::30
d.gtld-servers.net.     41158   IN      A       192.31.80.30
d.gtld-servers.net.     41158   IN      AAAA    2001:500:856e::30
e.gtld-servers.net.     41158   IN      A       192.12.94.30
e.gtld-servers.net.     41158   IN      AAAA    2001:502:1ca1::30
f.gtld-servers.net.     41158   IN      A       192.35.51.30"
4,facebook.com,Alibaba,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 26297
;; flags: qr rd ra; QUERY: 1, ANSWER: 1, AUTHORITY: 13, ADDITIONAL: 11
;; QUESTION SECTION:
;facebook.com.                  IN      A
;; ANSWER SECTION:
facebook.com.           297     IN      A       31.13.77.35
;; AUTHORITY SECTION:
com.                    42510   IN      NS      k.gtld-servers.net.
com.                    42510   IN      NS      i.gtld-servers.net.
com.                    42510   IN      NS      g.gtld-servers.net.
com.                    42510   IN      NS      e.gtld-servers.net.
com.                    42510   IN      NS      m.gtld-servers.net.
com.                    42510   IN      NS      j.gtld-servers.net.
com.                    42510   IN      NS      a.gtld-servers.net.
com.                    42510   IN      NS      b.gtld-servers.net.
com.                    42510   IN      NS      d.gtld-servers.net.
com.                    42510   IN      NS      c.gtld-servers.net.
com.                    42510   IN      NS      l.gtld-servers.net.
com.                    42510   IN      NS      h.gtld-servers.net.
com.                    42510   IN      NS      f.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41157   IN      A       192.5.6.30
a.gtld-servers.net.     41157   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41157   IN      A       192.33.14.30
b.gtld-servers.net.     41157   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41157   IN      A       192.26.92.30
c.gtld-servers.net.     41157   IN      AAAA    2001:503:83eb::30
d.gtld-servers.net.     41157   IN      A       192.31.80.30
d.gtld-servers.net.     41157   IN      AAAA    2001:500:856e::30
e.gtld-servers.net.     41157   IN      A       192.12.94.30
e.gtld-servers.net.     41157   IN      AAAA    2001:502:1ca1::30
f.gtld-servers.net.     41157   IN      A       192.35.51.30"
5,Instagram.com,Cloudflare,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 26519
;; flags: qr rd ra; QUERY: 1, ANSWER: 8, AUTHORITY: 0, ADDITIONAL: 0
;; QUESTION SECTION:
;Instagram.com.                 IN      A
;; ANSWER SECTION:
instagram.com.          48      IN      A       52.205.68.57
instagram.com.          48      IN      A       107.21.50.66
instagram.com.          48      IN      A       3.225.55.231
instagram.com.          48      IN      A       34.194.60.215
instagram.com.          48      IN      A       54.85.7.239
instagram.com.          48      IN      A       35.153.11.244
instagram.com.          48      IN      A       52.5.46.140
instagram.com.          48      IN      A       52.1.230.205"
6,Instagram.com,Google,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 26519
;; flags: qr rd ra; QUERY: 1, ANSWER: 8, AUTHORITY: 0, ADDITIONAL: 0
;; QUESTION SECTION:
;Instagram.com.                 IN      A
;; ANSWER SECTION:
Instagram.com.          40      IN      A       34.230.186.253
Instagram.com.          40      IN      A       107.21.50.66
Instagram.com.          40      IN      A       54.161.83.101
Instagram.com.          40      IN      A       3.226.96.24
Instagram.com.          40      IN      A       3.218.162.209
Instagram.com.          40      IN      A       52.73.139.89
Instagram.com.          40      IN      A       34.194.60.215
Instagram.com.          40      IN      A       35.173.166.200"
7,Instagram.com,Shanghai,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 26519
;; flags: qr rd ra; QUERY: 1, ANSWER: 8, AUTHORITY: 13, ADDITIONAL: 5
;; QUESTION SECTION:
;Instagram.com.                 IN      A
;; ANSWER SECTION:
Instagram.com.          39      IN      A       3.226.96.24
Instagram.com.          39      IN      A       54.161.83.101
Instagram.com.          39      IN      A       35.173.166.200
Instagram.com.          39      IN      A       3.218.162.209
Instagram.com.          39      IN      A       34.194.60.215
Instagram.com.          39      IN      A       107.21.50.66
Instagram.com.          39      IN      A       52.73.139.89
Instagram.com.          39      IN      A       34.230.186.253
;; AUTHORITY SECTION:
com.                    42505   IN      NS      l.gtld-servers.net.
com.                    42505   IN      NS      g.gtld-servers.net.
com.                    42505   IN      NS      c.gtld-servers.net.
com.                    42505   IN      NS      e.gtld-servers.net.
com.                    42505   IN      NS      i.gtld-servers.net.
com.                    42505   IN      NS      d.gtld-servers.net.
com.                    42505   IN      NS      h.gtld-servers.net.
com.                    42505   IN      NS      f.gtld-servers.net.
com.                    42505   IN      NS      k.gtld-servers.net.
com.                    42505   IN      NS      a.gtld-servers.net.
com.                    42505   IN      NS      m.gtld-servers.net.
com.                    42505   IN      NS      j.gtld-servers.net.
com.                    42505   IN      NS      b.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41152   IN      A       192.5.6.30
a.gtld-servers.net.     41152   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41152   IN      A       192.33.14.30
b.gtld-servers.net.     41152   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41152   IN      A       192.26.92.30"
8,Instagram.com,Shenzen,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 26519
;; flags: qr rd ra; QUERY: 1, ANSWER: 8, AUTHORITY: 13, ADDITIONAL: 5
;; QUESTION SECTION:
;Instagram.com.                 IN      A
;; ANSWER SECTION:
instagram.com.          39      IN      A       54.161.83.101
instagram.com.          39      IN      A       107.21.50.66
instagram.com.          39      IN      A       34.194.60.215
instagram.com.          39      IN      A       52.73.139.89
instagram.com.          39      IN      A       34.230.186.253
instagram.com.          39      IN      A       3.226.96.24
instagram.com.          39      IN      A       3.218.162.209
instagram.com.          39      IN      A       35.173.166.200
;; AUTHORITY SECTION:
com.                    42505   IN      NS      k.gtld-servers.net.
com.                    42505   IN      NS      d.gtld-servers.net.
com.                    42505   IN      NS      c.gtld-servers.net.
com.                    42505   IN      NS      m.gtld-servers.net.
com.                    42505   IN      NS      e.gtld-servers.net.
com.                    42505   IN      NS      i.gtld-servers.net.
com.                    42505   IN      NS      b.gtld-servers.net.
com.                    42505   IN      NS      f.gtld-servers.net.
com.                    42505   IN      NS      j.gtld-servers.net.
com.                    42505   IN      NS      l.gtld-servers.net.
com.                    42505   IN      NS      h.gtld-servers.net.
com.                    42505   IN      NS      a.gtld-servers.net.
com.                    42505   IN      NS      g.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41152   IN      A       192.5.6.30
a.gtld-servers.net.     41152   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41152   IN      A       192.33.14.30
b.gtld-servers.net.     41152   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41152   IN      A       192.26.92.30"
9,Instagram.com,Alibaba,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 26519
;; flags: qr rd ra; QUERY: 1, ANSWER: 8, AUTHORITY: 13, ADDITIONAL: 5
;; QUESTION SECTION:
;Instagram.com.                 IN      A
;; ANSWER SECTION:
instagram.com.          38      IN      A       35.173.166.200
instagram.com.          38      IN      A       34.194.60.215
instagram.com.          38      IN      A       34.230.186.253
instagram.com.          38      IN      A       54.161.83.101
instagram.com.          38      IN      A       3.226.96.24
instagram.com.          38      IN      A       3.218.162.209
instagram.com.          38      IN      A       52.73.139.89
instagram.com.          38      IN      A       107.21.50.66
;; AUTHORITY SECTION:
com.                    42504   IN      NS      k.gtld-servers.net.
com.                    42504   IN      NS      j.gtld-servers.net.
com.                    42504   IN      NS      b.gtld-servers.net.
com.                    42504   IN      NS      i.gtld-servers.net.
com.                    42504   IN      NS      g.gtld-servers.net.
com.                    42504   IN      NS      c.gtld-servers.net.
com.                    42504   IN      NS      h.gtld-servers.net.
com.                    42504   IN      NS      f.gtld-servers.net.
com.                    42504   IN      NS      e.gtld-servers.net.
com.                    42504   IN      NS      d.gtld-servers.net.
com.                    42504   IN      NS      m.gtld-servers.net.
com.                    42504   IN      NS      l.gtld-servers.net.
com.                    42504   IN      NS      a.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41151   IN      A       192.5.6.30
a.gtld-servers.net.     41151   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41151   IN      A       192.33.14.30
b.gtld-servers.net.     41151   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41151   IN      A       192.26.92.30"
