,Domain,Resolver,Result
0,facebook.com,Cloudflare,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 28588
;; flags: qr rd ra; QUERY: 1, ANSWER: 1, AUTHORITY: 0, ADDITIONAL: 0
;; QUESTION SECTION:
;facebook.com.                  IN      A
;; ANSWER SECTION:
facebook.com.           132     IN      A       31.13.82.36"
1,facebook.com,Google,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 28588
;; flags: qr rd ra; QUERY: 1, ANSWER: 1, AUTHORITY: 0, ADDITIONAL: 0
;; QUESTION SECTION:
;facebook.com.                  IN      A
;; ANSWER SECTION:
facebook.com.           299     IN      A       31.13.79.35"
2,facebook.com,Hyderabad,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 28588
;; flags: qr rd ra; QUERY: 1, ANSWER: 1, AUTHORITY: 13, ADDITIONAL: 11
;; QUESTION SECTION:
;facebook.com.                  IN      A
;; ANSWER SECTION:
facebook.com.           298     IN      A       31.13.79.35
;; AUTHORITY SECTION:
com.                    42696   IN      NS      f.gtld-servers.net.
com.                    42696   IN      NS      k.gtld-servers.net.
com.                    42696   IN      NS      e.gtld-servers.net.
com.                    42696   IN      NS      i.gtld-servers.net.
com.                    42696   IN      NS      a.gtld-servers.net.
com.                    42696   IN      NS      j.gtld-servers.net.
com.                    42696   IN      NS      b.gtld-servers.net.
com.                    42696   IN      NS      l.gtld-servers.net.
com.                    42696   IN      NS      h.gtld-servers.net.
com.                    42696   IN      NS      c.gtld-servers.net.
com.                    42696   IN      NS      d.gtld-servers.net.
com.                    42696   IN      NS      g.gtld-servers.net.
com.                    42696   IN      NS      m.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41098   IN      A       192.5.6.30
a.gtld-servers.net.     41098   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41098   IN      A       192.33.14.30
b.gtld-servers.net.     41098   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41098   IN      A       192.26.92.30
c.gtld-servers.net.     41098   IN      AAAA    2001:503:83eb::30
d.gtld-servers.net.     5493    IN      A       192.31.80.30
d.gtld-servers.net.     41098   IN      AAAA    2001:500:856e::30
e.gtld-servers.net.     41098   IN      A       192.12.94.30
e.gtld-servers.net.     41098   IN      AAAA    2001:502:1ca1::30
f.gtld-servers.net.     41098   IN      A       192.35.51.30"
3,facebook.com,Chennai,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 28588
;; flags: qr rd ra; QUERY: 1, ANSWER: 1, AUTHORITY: 13, ADDITIONAL: 11
;; QUESTION SECTION:
;facebook.com.                  IN      A
;; ANSWER SECTION:
facebook.com.           297     IN      A       31.13.79.35
;; AUTHORITY SECTION:
com.                    42695   IN      NS      m.gtld-servers.net.
com.                    42695   IN      NS      j.gtld-servers.net.
com.                    42695   IN      NS      a.gtld-servers.net.
com.                    42695   IN      NS      h.gtld-servers.net.
com.                    42695   IN      NS      l.gtld-servers.net.
com.                    42695   IN      NS      k.gtld-servers.net.
com.                    42695   IN      NS      e.gtld-servers.net.
com.                    42695   IN      NS      f.gtld-servers.net.
com.                    42695   IN      NS      i.gtld-servers.net.
com.                    42695   IN      NS      g.gtld-servers.net.
com.                    42695   IN      NS      b.gtld-servers.net.
com.                    42695   IN      NS      c.gtld-servers.net.
com.                    42695   IN      NS      d.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41097   IN      A       192.5.6.30
a.gtld-servers.net.     41097   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41097   IN      A       192.33.14.30
b.gtld-servers.net.     41097   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41097   IN      A       192.26.92.30
c.gtld-servers.net.     41097   IN      AAAA    2001:503:83eb::30
d.gtld-servers.net.     5492    IN      A       192.31.80.30
d.gtld-servers.net.     41097   IN      AAAA    2001:500:856e::30
e.gtld-servers.net.     41097   IN      A       192.12.94.30
e.gtld-servers.net.     41097   IN      AAAA    2001:502:1ca1::30
f.gtld-servers.net.     41097   IN      A       192.35.51.30"
4,facebook.com,Greater Noida,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 28588
;; flags: qr rd ra; QUERY: 1, ANSWER: 1, AUTHORITY: 13, ADDITIONAL: 11
;; QUESTION SECTION:
;facebook.com.                  IN      A
;; ANSWER SECTION:
facebook.com.           297     IN      A       31.13.79.35
;; AUTHORITY SECTION:
com.                    42695   IN      NS      d.gtld-servers.net.
com.                    42695   IN      NS      e.gtld-servers.net.
com.                    42695   IN      NS      g.gtld-servers.net.
com.                    42695   IN      NS      f.gtld-servers.net.
com.                    42695   IN      NS      i.gtld-servers.net.
com.                    42695   IN      NS      l.gtld-servers.net.
com.                    42695   IN      NS      h.gtld-servers.net.
com.                    42695   IN      NS      k.gtld-servers.net.
com.                    42695   IN      NS      a.gtld-servers.net.
com.                    42695   IN      NS      j.gtld-servers.net.
com.                    42695   IN      NS      m.gtld-servers.net.
com.                    42695   IN      NS      b.gtld-servers.net.
com.                    42695   IN      NS      c.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41097   IN      A       192.5.6.30
a.gtld-servers.net.     41097   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41097   IN      A       192.33.14.30
b.gtld-servers.net.     41097   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41097   IN      A       192.26.92.30
c.gtld-servers.net.     41097   IN      AAAA    2001:503:83eb::30
d.gtld-servers.net.     5492    IN      A       192.31.80.30
d.gtld-servers.net.     41097   IN      AAAA    2001:500:856e::30
e.gtld-servers.net.     41097   IN      A       192.12.94.30
e.gtld-servers.net.     41097   IN      AAAA    2001:502:1ca1::30
f.gtld-servers.net.     41097   IN      A       192.35.51.30"
5,Instagram.com,Cloudflare,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 19642
;; flags: qr rd ra; QUERY: 1, ANSWER: 8, AUTHORITY: 0, ADDITIONAL: 0
;; QUESTION SECTION:
;Instagram.com.                 IN      A
;; ANSWER SECTION:
instagram.com.          17      IN      A       52.22.169.228
instagram.com.          17      IN      A       34.230.186.253
instagram.com.          17      IN      A       52.54.9.148
instagram.com.          17      IN      A       34.200.181.246
instagram.com.          17      IN      A       54.85.7.239
instagram.com.          17      IN      A       52.45.116.207
instagram.com.          17      IN      A       52.3.87.113
instagram.com.          17      IN      A       52.3.18.154"
6,Instagram.com,Google,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 19642
;; flags: qr rd ra; QUERY: 1, ANSWER: 8, AUTHORITY: 0, ADDITIONAL: 0
;; QUESTION SECTION:
;Instagram.com.                 IN      A
;; ANSWER SECTION:
Instagram.com.          47      IN      A       34.206.15.15
Instagram.com.          47      IN      A       52.5.220.246
Instagram.com.          47      IN      A       3.223.111.137
Instagram.com.          47      IN      A       35.172.167.44
Instagram.com.          47      IN      A       34.206.159.43
Instagram.com.          47      IN      A       52.6.189.88
Instagram.com.          47      IN      A       52.1.109.13
Instagram.com.          47      IN      A       52.54.220.24"
7,Instagram.com,Hyderabad,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 19642
;; flags: qr rd ra; QUERY: 1, ANSWER: 8, AUTHORITY: 13, ADDITIONAL: 5
;; QUESTION SECTION:
;Instagram.com.                 IN      A
;; ANSWER SECTION:
instagram.com.          34      IN      A       52.71.74.107
instagram.com.          34      IN      A       34.193.5.242
instagram.com.          34      IN      A       3.226.111.93
instagram.com.          34      IN      A       3.223.111.137
instagram.com.          34      IN      A       3.218.138.4
instagram.com.          34      IN      A       34.232.174.143
instagram.com.          34      IN      A       34.238.173.81
instagram.com.          34      IN      A       54.83.139.7
;; AUTHORITY SECTION:
com.                    42688   IN      NS      g.gtld-servers.net.
com.                    42688   IN      NS      j.gtld-servers.net.
com.                    42688   IN      NS      e.gtld-servers.net.
com.                    42688   IN      NS      i.gtld-servers.net.
com.                    42688   IN      NS      h.gtld-servers.net.
com.                    42688   IN      NS      d.gtld-servers.net.
com.                    42688   IN      NS      f.gtld-servers.net.
com.                    42688   IN      NS      k.gtld-servers.net.
com.                    42688   IN      NS      b.gtld-servers.net.
com.                    42688   IN      NS      a.gtld-servers.net.
com.                    42688   IN      NS      c.gtld-servers.net.
com.                    42688   IN      NS      l.gtld-servers.net.
com.                    42688   IN      NS      m.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41090   IN      A       192.5.6.30
a.gtld-servers.net.     41090   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41090   IN      A       192.33.14.30
b.gtld-servers.net.     41090   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41090   IN      A       192.26.92.30"
8,Instagram.com,Chennai,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 19642
;; flags: qr rd ra; QUERY: 1, ANSWER: 8, AUTHORITY: 13, ADDITIONAL: 5
;; QUESTION SECTION:
;Instagram.com.                 IN      A
;; ANSWER SECTION:
instagram.com.          33      IN      A       3.226.111.93
instagram.com.          33      IN      A       54.83.139.7
instagram.com.          33      IN      A       3.223.111.137
instagram.com.          33      IN      A       34.193.5.242
instagram.com.          33      IN      A       34.232.174.143
instagram.com.          33      IN      A       34.238.173.81
instagram.com.          33      IN      A       52.71.74.107
instagram.com.          33      IN      A       3.218.138.4
;; AUTHORITY SECTION:
com.                    42687   IN      NS      a.gtld-servers.net.
com.                    42687   IN      NS      h.gtld-servers.net.
com.                    42687   IN      NS      g.gtld-servers.net.
com.                    42687   IN      NS      j.gtld-servers.net.
com.                    42687   IN      NS      b.gtld-servers.net.
com.                    42687   IN      NS      d.gtld-servers.net.
com.                    42687   IN      NS      e.gtld-servers.net.
com.                    42687   IN      NS      c.gtld-servers.net.
com.                    42687   IN      NS      f.gtld-servers.net.
com.                    42687   IN      NS      k.gtld-servers.net.
com.                    42687   IN      NS      i.gtld-servers.net.
com.                    42687   IN      NS      l.gtld-servers.net.
com.                    42687   IN      NS      m.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41089   IN      A       192.5.6.30
a.gtld-servers.net.     41089   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41089   IN      A       192.33.14.30
b.gtld-servers.net.     41089   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41089   IN      A       192.26.92.30"
9,Instagram.com,Greater Noida,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 19642
;; flags: qr rd ra; QUERY: 1, ANSWER: 8, AUTHORITY: 13, ADDITIONAL: 5
;; QUESTION SECTION:
;Instagram.com.                 IN      A
;; ANSWER SECTION:
instagram.com.          33      IN      A       54.83.139.7
instagram.com.          33      IN      A       52.71.74.107
instagram.com.          33      IN      A       34.238.173.81
instagram.com.          33      IN      A       3.218.138.4
instagram.com.          33      IN      A       3.226.111.93
instagram.com.          33      IN      A       34.232.174.143
instagram.com.          33      IN      A       3.223.111.137
instagram.com.          33      IN      A       34.193.5.242
;; AUTHORITY SECTION:
com.                    42687   IN      NS      d.gtld-servers.net.
com.                    42687   IN      NS      c.gtld-servers.net.
com.                    42687   IN      NS      f.gtld-servers.net.
com.                    42687   IN      NS      h.gtld-servers.net.
com.                    42687   IN      NS      k.gtld-servers.net.
com.                    42687   IN      NS      a.gtld-servers.net.
com.                    42687   IN      NS      g.gtld-servers.net.
com.                    42687   IN      NS      e.gtld-servers.net.
com.                    42687   IN      NS      l.gtld-servers.net.
com.                    42687   IN      NS      m.gtld-servers.net.
com.                    42687   IN      NS      i.gtld-servers.net.
com.                    42687   IN      NS      b.gtld-servers.net.
com.                    42687   IN      NS      j.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41089   IN      A       192.5.6.30
a.gtld-servers.net.     41089   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41089   IN      A       192.33.14.30
b.gtld-servers.net.     41089   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41089   IN      A       192.26.92.30"
